,open,close,high,low,prediction_h,prediction_l,cumulative_capital,trade_profit,cumulative_volume
48,69734.9,69611.9,69791.2,69284.0,69138.5457918644,68884.35180926323,6028.953433288398,[1979.75],98000
49,69955.3,69728.9,70000.0,69543.6,69138.5457918644,68884.35180926323,8008.703433288398,[1979.75],100000
50,69325.1,69956.8,69980.0,69300.0,69237.24194413424,68893.12989622355,9988.453433288398,[1979.75],102000
51,69330.5,69325.1,69660.0,69084.1,68966.97313290834,68762.00121062994,11968.203433288398,[1979.75],104000
52,67786.5,69324.8,69485.1,67744.1,68966.97313290834,68762.00121062994,11950.538857629404,[-17.66457565899318],106000
53,68000.3,67785.5,68021.1,67713.9,68548.70209854841,69363.98706519604,11930.288857629404,[-20.250000000000018],108000
54,67747.1,68000.1,68055.0,67747.1,69171.93937331438,68892.02761298418,11910.038857629404,[-20.250000000000018],110000
55,67396.0,67747.1,67800.0,67351.3,69171.93937331438,68892.02761298418,11889.788857629404,[-20.250000000000018],112000
56,67459.1,67396.0,67552.4,67380.1,69171.93937331438,68892.02761298418,11869.538857629404,[-20.250000000000018],114000
57,67278.0,67459.2,67492.4,67230.1,69171.93937331438,68892.02761298418,11849.288857629404,[-20.250000000000018],116000
58,67258.3,67277.9,67400.0,67258.3,69171.93937331438,68892.02761298418,11829.038857629404,[-20.250000000000018],118000
59,67485.2,67258.4,67521.0,67200.1,69171.93937331438,68892.02761298418,11808.788857629404,[-20.250000000000018],120000
60,67409.9,67485.1,67606.7,67373.1,68966.97313290834,68762.00121062994,11788.538857629404,[-20.250000000000018],122000
61,67408.0,67409.9,67488.9,67316.2,68966.97313290834,68762.00121062994,11768.288857629404,[-20.250000000000018],124000
62,67169.6,67408.0,67602.7,67114.8,68966.97313290834,68762.00121062994,11748.038857629404,[-20.250000000000018],126000
63,67188.0,67169.6,67242.9,66892.4,68966.97313290834,68762.00121062994,11727.788857629404,[-20.250000000000018],128000
64,67312.2,67188.0,67433.4,67169.2,68966.97313290834,68762.00121062994,11707.538857629404,[-20.250000000000018],130000
65,67361.0,67314.5,67578.0,67300.0,68966.97313290834,68762.00121062994,11687.288857629404,[-20.250000000000018],132000
66,67395.1,67360.9,67573.9,67304.8,68966.97313290834,68762.00121062994,11667.038857629404,[-20.250000000000018],134000
67,67290.2,67395.0,67395.1,67196.6,68966.97313290834,68762.00121062994,11646.788857629404,[-20.250000000000018],136000
68,67402.1,67290.2,67494.4,67168.8,68966.97313290834,68762.00121062994,11626.538857629404,[-20.250000000000018],138000
69,67119.4,67400.1,67585.0,67062.1,68966.97313290834,68762.00121062994,11606.288857629404,[-20.250000000000018],140000
70,66762.4,67119.3,67232.0,66633.1,68966.97313290834,68762.00121062994,11586.038857629404,[-20.250000000000018],142000
71,66484.0,66765.9,66800.0,66169.6,69171.93937331438,68892.02761298418,11565.788857629404,[-20.250000000000018],144000
72,66230.2,66484.0,66737.7,66153.9,69241.62510281801,69001.35454845428,11545.538857629404,[-20.250000000000018],146000
73,66846.1,66230.3,67060.2,66000.0,69241.62510281801,69001.35454845428,11525.288857629404,[-20.250000000000018],148000
74,66812.0,66846.2,67095.9,66771.9,68966.97313290834,68762.00121062994,11505.038857629404,[-20.250000000000018],150000
75,67028.2,66818.7,67280.0,66520.0,68966.97313290834,68762.00121062994,11484.788857629404,[-20.250000000000018],152000
76,66902.5,67021.8,67189.4,66800.0,68966.97313290834,68762.00121062994,11464.538857629404,[-20.250000000000018],154000
77,66961.1,66901.7,67113.6,66764.1,68966.97313290834,68762.00121062994,11444.288857629404,[-20.250000000000018],156000
78,67092.4,66961.3,67286.6,66728.7,68966.97313290834,68762.00121062994,11424.038857629404,[-20.250000000000018],158000
79,67518.2,67092.7,67661.7,66870.1,68966.97313290834,68762.00121062994,11403.788857629404,[-20.250000000000018],160000
80,67576.2,67518.2,67647.3,67278.8,69237.24194413424,68893.12989622355,11383.538857629404,[-20.250000000000018],162000
81,67716.0,67568.9,67849.4,67528.0,69237.24194413424,68893.12989622355,11363.288857629404,[-20.250000000000018],164000
82,67900.1,67730.0,67979.6,67300.9,69237.24194413424,68893.12989622355,11343.038857629404,[-20.250000000000018],166000
83,68037.5,67900.1,68104.6,67658.0,69237.24194413424,68893.12989622355,11322.788857629404,[-20.250000000000018],168000
84,68464.8,68037.5,68464.8,67618.2,69237.24194413424,68893.12989622355,11302.538857629404,[-20.250000000000018],170000
85,68262.7,68464.8,68484.7,68168.1,69138.5457918644,68884.35180926323,11282.288857629404,[-20.250000000000018],172000
86,68712.0,68262.6,68931.6,67891.0,69237.24194413424,68893.12989622355,11262.038857629404,[-20.250000000000018],174000
87,69416.6,68712.1,69523.5,68395.0,69138.5457918644,68884.35180926323,13254.12140934273,[1992.0825517133255],176000
88,69545.0,69416.5,69583.5,69400.0,69138.5457918644,68884.35180926323,15233.87140934273,[1979.75],178000
89,69495.7,69545.0,69574.7,69399.9,67474.74096369743,67650.35120174289,17213.62140934273,[1979.75],180000
90,69579.0,69495.6,69591.1,69415.3,69237.24194413424,68893.12989622355,19193.37140934273,[1979.75],182000
91,69620.6,69579.0,69685.3,69526.6,69440.06652450562,70039.56168973446,19195.714513617822,[2.3431042750908517],184000
92,69496.3,69620.6,69684.8,69333.0,69444.74351716042,70314.44661641121,19196.206373009467,[0.4918593916451721],186000
93,69850.8,69496.3,69850.8,69384.6,68966.97313290834,68762.00121062994,21175.956373009467,[1979.75],188000
94,70032.0,69850.7,70120.0,69725.4,69672.29357683659,69553.31963378191,23155.706373009467,[1979.75],190000
95,69973.8,70031.9,70060.0,69755.0,69237.24194413424,68893.12989622355,25135.456373009467,[1979.75],192000
96,70058.6,69973.8,70105.1,69720.1,69237.24194413424,68893.12989622355,27115.206373009467,[1979.75],194000
97,69671.0,70058.6,70186.2,69606.0,69815.72919797897,68610.35447221994,29094.956373009467,[1979.75],196000
98,69414.8,69670.9,69675.8,69296.5,68966.97313290834,68762.00121062994,31074.706373009467,[1979.75],198000
99,69366.7,69414.8,69516.0,69216.7,70224.96930205822,69108.31011390686,31054.456373009467,[-20.250000000000018],200000
100,69472.1,69366.7,69520.0,69326.4,68966.97313290834,68762.00121062994,33034.20637300947,[1979.75],202000
101,69436.3,69472.0,69560.0,69333.0,68966.97313290834,68762.00121062994,35013.95637300947,[1979.75],204000
102,69448.2,69436.2,69477.1,69351.5,68966.97313290834,68762.00121062994,36993.70637300947,[1979.75],206000
103,69392.9,69448.3,69473.0,69156.1,68966.97313290834,68762.00121062994,38973.45637300947,[1979.75],208000
104,69292.6,69393.6,69497.1,69279.8,69073.94209134579,67235.36631885171,40953.20637300947,[1979.75],210000
105,69428.8,69292.0,69509.1,69203.5,68966.97313290834,68762.00121062994,42932.95637300947,[1979.75],212000
106,69564.8,69428.7,69612.2,69331.1,68966.97313290834,68762.00121062994,44912.70637300947,[1979.75],214000
107,69672.5,69564.7,69672.5,69526.6,68966.97313290834,68762.00121062994,46892.45637300947,[1979.75],216000
108,69613.8,69672.5,69701.4,69507.8,68966.97313290834,68762.00121062994,48872.20637300947,[1979.75],218000
109,69708.2,69613.7,69775.9,69572.9,68966.97313290834,68762.00121062994,50851.95637300947,[1979.75],220000
110,69619.7,69708.2,69798.9,69600.0,68966.97313290834,68762.00121062994,52831.70637300947,[1979.75],222000
111,69563.9,69619.7,69677.6,69512.0,68966.97313290834,68762.00121062994,54811.45637300947,[1979.75],224000
112,69641.8,69563.9,69652.9,69413.8,68966.97313290834,68762.00121062994,56791.20637300947,[1979.75],226000
113,69636.3,69641.8,69685.5,69593.5,68966.97313290834,68762.00121062994,58770.95637300947,[1979.75],228000
114,69744.3,69633.6,69788.3,69617.9,68966.97313290834,68762.00121062994,60750.70637300947,[1979.75],230000
115,69684.9,69744.3,69818.0,69605.9,68966.97313290834,68762.00121062994,62730.45637300947,[1979.75],232000
116,69707.3,69684.8,69730.5,69591.5,68966.97313290834,68762.00121062994,64710.20637300947,[1979.75],234000
117,69740.9,69707.2,69846.3,69645.0,68966.97313290834,68762.00121062994,66689.95637300947,[1979.75],236000
118,69657.0,69741.0,69850.0,69604.4,68966.97313290834,68762.00121062994,68669.70637300947,[1979.75],238000
119,69615.0,69657.1,69698.4,69563.4,68966.97313290834,68762.00121062994,70649.45637300947,[1979.75],240000
120,69508.6,69614.9,69640.4,69493.8,68966.97313290834,68762.00121062994,72629.20637300947,[1979.75],242000
121,69489.0,69508.5,69584.0,69425.1,68966.97313290834,68762.00121062994,74608.95637300947,[1979.75],244000
122,69453.3,69489.0,69565.2,69264.7,68966.97313290834,68762.00121062994,76588.70637300947,[1979.75],246000
123,69700.0,69453.3,69775.0,69253.0,68966.97313290834,68762.00121062994,78568.45637300947,[1979.75],248000
124,69368.9,69697.9,69773.2,69356.5,68966.97313290834,68762.00121062994,80548.20637300947,[1979.75],250000
125,69351.4,69368.8,69396.0,69327.6,69060.3283251524,68832.99336493015,82527.95637300947,[1979.75],252000
126,69365.0,69351.3,69378.3,69324.9,69060.3283251524,68832.99336493015,84507.70637300947,[1979.75],254000
127,69357.9,69365.0,69404.2,69338.6,68966.97313290834,68762.00121062994,86487.45637300947,[1979.75],256000
128,69304.9,69357.8,69366.2,69285.8,68966.97313290834,68762.00121062994,88467.20637300947,[1979.75],258000
129,69389.9,69304.8,69435.1,69285.5,68966.97313290834,68762.00121062994,90446.95637300947,[1979.75],260000
130,69300.9,69389.9,69400.0,69288.0,68966.97313290834,68762.00121062994,92426.70637300947,[1979.75],262000
131,69308.7,69300.9,69373.8,69234.6,68966.97313290834,68762.00121062994,94406.45637300947,[1979.75],264000
132,69261.8,69308.6,69314.3,69245.2,68966.97313290834,68762.00121062994,96386.20637300947,[1979.75],266000
133,69173.5,69261.8,69300.0,69134.0,68966.97313290834,68762.00121062994,98365.95637300947,[1979.75],268000
134,69282.9,69173.5,69304.0,69155.9,69171.93937331438,68892.02761298418,100345.70637300947,[1979.75],270000
135,69277.8,69282.8,69351.4,69228.2,68966.97313290834,68762.00121062994,102325.45637300947,[1979.75],272000
136,69311.5,69277.7,69332.2,69241.6,68966.97313290834,68762.00121062994,104305.20637300947,[1979.75],274000
137,69335.6,69311.5,69375.1,69288.4,68966.97313290834,68762.00121062994,106284.95637300947,[1979.75],276000
138,69399.1,69335.6,69413.7,69281.2,68966.97313290834,68762.00121062994,108264.70637300947,[1979.75],278000
139,69361.5,69399.1,69450.1,69312.0,68966.97313290834,68762.00121062994,110244.45637300947,[1979.75],280000
140,69452.7,69361.5,69475.0,69308.2,68966.97313290834,68762.00121062994,112224.20637300947,[1979.75],282000
141,69454.2,69452.6,69495.3,69418.5,69237.24194413424,68893.12989622355,114203.95637300947,[1979.75],284000
142,69443.7,69453.5,69504.2,69398.6,68966.97313290834,68762.00121062994,116183.70637300947,[1979.75],286000
143,69385.1,69443.6,69470.8,69335.1,68966.97313290834,68762.00121062994,118163.45637300947,[1979.75],288000
144,69420.9,69385.1,69473.0,69297.2,68966.97313290834,68762.00121062994,120143.20637300947,[1979.75],290000
145,69463.7,69420.8,69497.1,69406.5,68966.97313290834,68762.00121062994,122122.95637300947,[1979.75],292000
146,69423.4,69463.6,69470.2,69305.9,68966.97313290834,68762.00121062994,124102.70637300947,[1979.75],294000
147,69348.3,69421.4,69428.0,69136.4,68966.97313290834,68762.00121062994,126082.45637300947,[1979.75],296000
148,69364.2,69348.3,69436.3,69270.0,68966.97313290834,68762.00121062994,128062.20637300947,[1979.75],298000
149,69455.9,69365.9,69523.0,69308.6,68966.97313290834,68762.00121062994,130041.95637300947,[1979.75],300000
150,69440.2,69455.8,69500.0,69350.1,68966.97313290834,68762.00121062994,132021.70637300948,[1979.75],302000
151,69429.9,69440.2,69492.0,69369.0,68966.97313290834,68762.00121062994,134001.45637300948,[1979.75],304000
152,69589.6,69429.9,69589.6,69372.2,68966.97313290834,68762.00121062994,135981.20637300948,[1979.75],306000
153,69336.9,69589.5,69589.6,69336.8,68930.54949009418,69047.22755086422,137960.95637300948,[1979.75],308000
154,69312.2,69336.8,69417.4,69286.8,68966.97313290834,68762.00121062994,139940.70637300948,[1979.75],310000
155,69308.0,69312.2,69345.2,69228.1,68966.97313290834,68762.00121062994,141920.45637300948,[1979.75],312000
156,69422.6,69308.0,69461.8,69275.0,68966.97313290834,68762.00121062994,143900.20637300948,[1979.75],314000
157,69426.2,69422.5,69529.9,69407.1,68966.97313290834,68762.00121062994,145879.95637300948,[1979.75],316000
158,69466.6,69426.2,69466.6,69380.0,68966.97313290834,68762.00121062994,147859.70637300948,[1979.75],318000
159,69393.5,69466.5,69472.7,69292.3,68966.97313290834,68762.00121062994,149839.45637300948,[1979.75],320000
160,69348.0,69396.0,69482.6,69289.0,68966.97313290834,68762.00121062994,151819.20637300948,[1979.75],322000
161,69500.2,69348.0,69500.2,69306.6,68966.97313290834,68762.00121062994,153798.95637300948,[1979.75],324000
162,69240.7,69500.3,69536.4,69180.7,68966.97313290834,68762.00121062994,155778.70637300948,[1979.75],326000
163,69308.1,69240.7,69384.4,69200.1,69060.3283251524,68832.99336493015,157758.45637300948,[1979.75],328000
164,69260.1,69308.5,69322.0,68972.0,68578.97673791647,70081.23172998428,157768.04065367155,[9.584280662077255],330000
165,69148.3,69256.0,69450.0,68800.0,68941.49480551481,69729.4771578908,157770.78140246053,[2.7407487889824225],332000
166,69791.0,69150.8,69878.2,68300.0,68603.31747329235,70474.47005808353,159780.32449982385,[2009.543097363321],334000
167,70869.8,69791.0,70869.8,69775.3,68796.46420162916,68633.87864136696,161760.07449982385,[1979.75],336000
168,71108.6,70868.9,71212.1,70778.2,69138.5457918644,68884.35180926323,163739.82449982385,[1979.75],338000
169,71420.0,71108.6,71420.0,70851.2,69138.5457918644,68884.35180926323,165719.57449982385,[1979.75],340000
170,71526.3,71420.0,71540.0,71168.8,68241.10947358608,68835.6894133687,167699.32449982385,[1979.75],342000
171,71227.9,71528.4,71640.0,71046.5,69064.51018321514,68492.8716148138,169679.07449982385,[1979.75],344000
172,71717.3,71225.9,71997.0,70601.0,69094.45446228981,68576.64453223348,171658.82449982385,[1979.75],346000
173,71376.4,71717.3,71720.0,71302.2,68596.0463000536,67183.3432983756,173638.57449982385,[1979.75],348000
174,71296.4,71376.4,71437.2,71200.1,69051.39520424604,68607.02895349264,175618.32449982385,[1979.75],350000
175,71119.9,71301.8,71321.3,71060.0,69051.39520424604,68607.02895349264,177598.07449982385,[1979.75],352000
176,71104.1,71116.4,71198.6,71048.1,69447.285749197,69224.41592895985,179577.82449982385,[1979.75],354000
177,71273.5,71104.0,71310.8,71055.4,69447.285749197,69224.41592895985,181557.57449982385,[1979.75],356000
178,71300.0,71273.4,71359.4,71164.3,70087.94689142704,68108.5818298459,183537.32449982385,[1979.75],358000
179,71216.2,71300.0,71450.0,71161.8,68179.90353274345,68818.03055989742,185517.07449982385,[1979.75],360000
180,70996.0,71216.1,71263.1,70995.9,69808.5148434639,69353.9715476036,187496.82449982385,[1979.75],362000
181,70825.1,70995.9,71027.3,70744.2,69051.39520424604,68607.02895349264,189476.57449982385,[1979.75],364000
182,70837.9,70825.1,70873.2,70666.6,68786.6674361229,68201.75357878208,191456.32449982385,[1979.75],366000
183,70878.9,70837.8,70911.6,70666.8,70461.16270714998,69559.51733899117,193436.07449982385,[1979.75],368000
184,70791.4,70878.9,70882.8,70736.5,69051.39520424604,68607.02895349264,195415.82449982385,[1979.75],370000
185,70888.8,70791.4,70948.4,70751.4,69169.80623608828,68937.4525591731,197395.57449982385,[1979.75],372000
186,70738.3,70888.8,70888.8,70665.8,69051.39520424604,68607.02895349264,199375.32449982385,[1979.75],374000
187,70723.2,70738.4,70859.5,70663.2,68999.00103574991,67905.12189438939,201355.07449982385,[1979.75],376000
188,70479.1,70723.1,70744.0,70120.0,69051.39520424604,68607.02895349264,203334.82449982385,[1979.75],378000
189,71076.5,70478.8,71083.2,70450.6,69169.80623608828,68937.4525591731,205314.57449982385,[1979.75],380000
190,71107.1,71076.4,71164.9,70864.0,69051.39520424604,68607.02895349264,207294.32449982385,[1979.75],382000
191,70944.0,71107.1,71228.2,70800.0,69051.39520424604,68607.02895349264,209274.07449982385,[1979.75],384000
192,71302.3,70943.9,71382.5,70829.0,68966.97313290834,68762.00121062994,211253.82449982385,[1979.75],386000
193,71455.9,71302.2,71651.5,71248.6,69237.24194413424,68893.12989622355,213233.57449982385,[1979.75],388000
194,71118.7,71456.0,71517.0,71015.0,69237.24194413424,68893.12989622355,215213.32449982385,[1979.75],390000
195,71188.4,71118.7,71540.0,71001.1,68966.97313290834,68762.00121062994,217193.07449982385,[1979.75],392000
196,71162.8,71189.9,71450.0,71053.9,68966.97313290834,68762.00121062994,219172.82449982385,[1979.75],394000
197,70991.5,71162.7,71188.0,70925.0,68966.97313290834,68762.00121062994,221152.57449982385,[1979.75],396000
198,70979.9,70988.0,71010.4,70885.0,68966.97313290834,68762.00121062994,223132.32449982385,[1979.75],398000
199,70900.0,70977.0,71140.6,70900.0,68966.97313290834,68762.00121062994,225112.07449982385,[1979.75],400000
200,71020.3,70899.9,71039.6,70853.9,68966.97313290834,68762.00121062994,227091.82449982385,[1979.75],402000
201,70893.9,71020.4,71067.9,70853.0,68966.97313290834,68762.00121062994,229071.57449982385,[1979.75],404000
202,70900.5,70895.2,71038.8,70802.3,68966.97313290834,68762.00121062994,231051.32449982385,[1979.75],406000
203,71052.7,70901.3,71084.2,70810.2,68966.97313290834,68762.00121062994,233031.07449982385,[1979.75],408000
204,71049.3,71052.7,71111.3,70914.0,68966.97313290834,68762.00121062994,235010.82449982385,[1979.75],410000
205,71161.0,71049.2,71188.2,71016.2,68966.97313290834,68762.00121062994,236990.57449982385,[1979.75],412000
206,71128.0,71160.9,71241.1,71099.9,68966.97313290834,68762.00121062994,238970.32449982385,[1979.75],414000
207,71021.6,71126.6,71187.5,70900.3,68966.97313290834,68762.00121062994,240950.07449982385,[1979.75],416000
208,71105.5,71021.6,71189.8,70957.6,68966.97313290834,68762.00121062994,242929.82449982385,[1979.75],418000
209,71143.9,71112.0,71293.7,70708.0,70086.40142214298,69048.80305290222,244909.57449982385,[1979.75],420000
210,71149.0,71143.9,71279.9,71093.7,70086.40142214298,69048.80305290222,246889.32449982385,[1979.75],422000
211,71197.3,71149.0,71219.9,71030.5,70086.40142214298,69048.80305290222,248869.07449982385,[1979.75],424000
212,71286.5,71197.4,71368.0,71161.9,70086.40142214298,69048.80305290222,250848.82449982385,[1979.75],426000
213,71096.4,71286.4,71420.0,70865.5,70086.40142214298,69048.80305290222,252828.57449982385,[1979.75],428000
214,71629.8,71100.4,71744.9,70900.0,68565.49933665991,69328.11496984959,254808.32449982385,[1979.75],430000
215,71312.7,71631.6,71717.0,71235.2,70022.13701057434,69110.79228043556,256788.07449982385,[1979.75],432000
216,71567.2,71312.8,71754.7,71266.1,70455.12247097492,70426.47203540802,258767.82449982385,[1979.75],434000
217,70868.0,71567.3,71717.9,70761.9,71446.70538514853,73719.67308437824,258759.40853796309,[-8.415961860762572],436000
218,70724.2,70863.9,71063.9,70376.0,68966.97313290834,68762.00121062994,260739.15853796309,[1979.75],438000
219,70938.6,70722.4,71175.0,70600.0,69462.58703148365,67953.27535685897,262718.90853796306,[1979.75],440000
220,70970.6,70938.6,71120.1,70648.1,69462.58703148365,67953.27535685897,264698.65853796306,[1979.75],442000
221,70800.5,70967.2,71097.9,70700.0,69459.94536668062,67097.15477350354,266678.40853796306,[1979.75],444000
222,70900.0,70800.5,70927.8,70720.0,69462.58703148365,67953.27535685897,268658.15853796306,[1979.75],446000
223,70936.9,70900.0,71031.3,70822.2,69462.58703148365,67953.27535685897,270637.90853796306,[1979.75],448000
224,71200.8,70937.0,71243.1,70884.0,68966.97313290834,68762.00121062994,272617.65853796306,[1979.75],450000
225,71114.7,71200.7,71371.3,71030.5,68966.97313290834,68762.00121062994,274597.40853796306,[1979.75],452000
226,70991.4,71115.0,71148.2,70822.7,68966.97313290834,68762.00121062994,276577.15853796306,[1979.75],454000
227,71179.3,70991.9,71207.7,70888.5,68966.97313290834,68762.00121062994,278556.90853796306,[1979.75],456000
228,70955.9,71179.2,71255.0,70827.1,68966.97313290834,68762.00121062994,280536.65853796306,[1979.75],458000
229,70839.8,70956.0,70996.7,70767.9,68966.97313290834,68762.00121062994,282516.40853796306,[1979.75],460000
230,70963.6,70839.7,71146.9,70648.0,68966.97313290834,68762.00121062994,284496.15853796306,[1979.75],462000
231,70775.0,70967.2,71306.1,70644.0,68966.97313290834,68762.00121062994,286475.90853796306,[1979.75],464000
232,70532.2,70772.6,70893.3,70424.1,68966.97313290834,68762.00121062994,288455.65853796306,[1979.75],466000
233,70566.3,70532.3,70615.2,70404.2,69171.93937331438,68892.02761298418,290435.40853796306,[1979.75],468000
234,70619.0,70566.2,70742.8,70500.3,68966.97313290834,68762.00121062994,292415.15853796306,[1979.75],470000
235,70401.2,70619.0,70631.0,70341.7,68966.97313290834,68762.00121062994,294394.90853796306,[1979.75],472000
236,70437.5,70401.2,70549.1,70167.6,68966.97313290834,68762.00121062994,296374.65853796306,[1979.75],474000
237,70707.5,70435.9,70736.0,70087.6,68966.97313290834,68762.00121062994,298354.40853796306,[1979.75],476000
238,70565.6,70707.5,71071.9,70565.6,68966.97313290834,68762.00121062994,300334.15853796306,[1979.75],478000
239,70807.0,70565.6,70838.8,70338.9,68966.97313290834,68762.00121062994,302313.90853796306,[1979.75],480000
240,70448.0,70803.3,71000.0,70393.2,68966.97313290834,68762.00121062994,304293.65853796306,[1979.75],482000
241,69664.0,70447.9,70500.0,69462.7,68966.97313290834,68762.00121062994,306273.40853796306,[1979.75],484000
242,69539.2,69663.9,70099.0,69324.3,69241.62510281801,69001.35454845428,308253.15853796306,[1979.75],486000
243,68951.6,69536.0,69832.0,68943.5,69241.62510281801,69001.35454845428,308248.70232515846,[-4.456212804604981],488000
244,68957.5,68944.6,69160.0,68843.8,69241.62510281801,69001.35454845428,308228.45232515846,[-20.250000000000018],490000
245,68896.0,68957.3,69034.8,68836.0,69241.62510281801,69001.35454845428,308208.20232515846,[-20.250000000000018],492000
246,68715.3,68893.8,68958.7,68698.9,70434.58290821314,68366.27056980133,308187.95232515846,[-20.250000000000018],494000
247,68840.8,68715.2,68891.1,68560.1,69171.93937331438,68892.02761298418,308167.70232515846,[-20.250000000000018],496000
